Ano;mes_num;precip_mm;mes;Columna1;Columna2
2019;1;0.94;Enero;;0.94
2019;2;1.98;Febrero;;1.98
2019;3;6.29;Marzo;;6.29
2019;4;7.38;Abril;;7.38
2019;5;10.78;Mayo;;10.78
2019;6;7.46;Junio;;7.46
2019;7;6.89;Julio;;6.89
2019;8;4.57;Agosto;;4.57
2019;9;5.57;Septiembre;;5.57
2019;10;8.26;Octubre;;8.26
2019;11;9.72;Noviembre;;9.72
2019;12;2.86;Diciembre;;2.86
2019;13;6.07;;#ˇDIV/0!;6.07
2020;1;1.27;Enero;;1.27
2020;2;3.74;Febrero;;3.74
2020;3;4.3;Marzo;;4.3
2020;4;5.36;Abril;;5.36
2020;5;5.52;Mayo;;5.52
2020;6;12.05;Junio;;12.05
2020;7;7.6;Julio;;7.6
2020;8;4.53;Agosto;;4.53
2020;9;4.86;Septiembre;;4.86
2020;10;1.7;Octubre;;1.7
2020;11;1.68;Noviembre;;1.68
2020;12;2.78;Diciembre;;2.78
2020;13;4.61;;;4.61
2021;1;2.83;Enero;;2.83
2021;2;3.22;Febrero;;3.22
2021;3;3.17;Marzo;;3.17
2021;4;4.44;Abril;;4.44
2021;5;0.04;Mayo;;0.04
2021;6;1.86;Junio;;1.86
2021;7;0.32;Julio;;0.32
2021;8;0.3;Agosto;;0.3
2021;9;1.7;Septiembre;;1.7
2021;10;2.02;Octubre;;2.02
2021;11;1.93;Noviembre;;1.93
2021;12;1.91;Diciembre;;1.91
2021;13;1.96;;;1.96
2022;1;1.12;Enero;;1.12
2022;2;4.04;Febrero;;4.04
2022;3;5.26;Marzo;;5.26
2022;4;9.09;Abril;;9.09
2022;5;11.9;Mayo;;11.9
2022;6;8.67;Junio;;8.67
2022;7;8.76;Julio;;8.76
2022;8;6.94;Agosto;;6.94
2022;9;6.22;Septiembre;;6.22
2022;10;8.23;Octubre;;8.23
2022;11;6.17;Noviembre;;6.17
2022;12;2.12;Diciembre;;2.12
2022;13;6.56;;;6.56
2023;1;5.68;Enero;;5.68
2023;2;1.34;Febrero;;1.34
2023;3;4.64;Marzo;;4.64
2023;4;7.32;Abril;;7.32
2023;5;8.24;Mayo;;8.24
2023;6;6.62;Junio;;6.62
2023;7;6.06;Julio;;6.06
2023;8;5.11;Agosto;;5.11
2023;9;5.14;Septiembre;;5.14
2023;10;6.91;Octubre;;6.91
2023;11;5.16;Noviembre;;5.16
2023;12;4.27;Diciembre;;4.27
2023;13;5.57;;;5.57
2024;1;0.28;Enero;;0.28
2024;2;1.84;Febrero;;1.84
2024;3;2.87;Marzo;;2.87
2024;4;6.04;Abril;;6.04
2024;5;11.63;Mayo;;11.63
2024;6;8.6;Junio;;8.6
2024;7;4.74;Julio;;4.74
2024;8;2.77;Agosto;;2.77
2024;9;3.7;Septiembre;;3.7
2024;10;7.0;Octubre;;7.0
2024;11;7.47;Noviembre;;7.47
2024;12;4.34;Diciembre;;4.34
2024;13;5.11;;;5.11
2025;1;2.26;Enero;;2.26
2025;2;3.04;Febrero;;3.04
2025;3;7.92;Marzo;;7.92
2025;4;17.02;Abril;;17.02
2025;5;9.72;Mayo;;9.72
2025;6;11.17;Junio;;11.17
2025;7;4.3;Julio;;4.3
2025;8;5.7;Agosto;;5.7
2025;9;4.14;Septiembre;;4.14
2025;10;7.62;Octubre;;7.62
2025;11;3.68;Noviembre;;3.68
2025;12;2.16;Diciembre;;2.16
2025;13;6.56;;;6.56
